id,updated,output_folder
https://domo-support.domo.com/s/article/360042934894,2023-04-30 20:38:13.788220,../../raw_kb_v2\article\360042934894
https://domo-support.domo.com/s/article/360043439673,2023-04-30 20:38:16.222360,../../raw_kb_v2\article\360043439673
https://domo-support.domo.com/s/article/360043439493,2023-04-30 20:38:18.669566,../../raw_kb_v2\article\360043439493
https://domo-support.domo.com/s/article/360043439453,2023-04-30 20:38:21.109556,../../raw_kb_v2\article\360043439453
https://domo-support.domo.com/s/article/360042935094,2023-04-30 20:38:23.555760,../../raw_kb_v2\article\360042935094
https://domo-support.domo.com/s/article/360043439753,2023-04-30 20:38:26.018677,../../raw_kb_v2\article\360043439753
https://domo-support.domo.com/s/article/360042935114,2023-04-30 20:38:28.513902,../../raw_kb_v2\article\360042935114
https://domo-support.domo.com/s/article/360042935074,2023-04-30 20:38:30.996408,../../raw_kb_v2\article\360042935074
https://domo-support.domo.com/s/article/360043427613,2023-04-30 20:38:33.524510,../../raw_kb_v2\article\360043427613
https://domo-support.domo.com/s/article/360042923554,2023-04-30 20:38:36.068479,../../raw_kb_v2\article\360042923554
https://domo-support.domo.com/s/article/360043428213,2023-04-30 20:38:38.540844,../../raw_kb_v2\article\360043428213
https://domo-support.domo.com/s/article/360043428233,2023-04-30 20:38:41.043825,../../raw_kb_v2\article\360043428233
https://domo-support.domo.com/s/article/1500010172542,2023-04-30 20:38:43.570856,../../raw_kb_v2\article\1500010172542
https://domo-support.domo.com/s/article/1500007028582,2023-04-30 20:38:46.041906,../../raw_kb_v2\article\1500007028582
https://domo-support.domo.com/s/article/360044406813,2023-04-30 20:38:49.592153,../../raw_kb_v2\article\360044406813
https://domo-support.domo.com/s/topic/0TO5w000000ZaoQGAS,2023-04-30 19:39:30.489328,../../raw_kb_v2\category\0TO5w000000ZaoQGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZapAGAS,2023-04-30 19:39:32.237836,../../raw_kb_v2\category\0TO5w000000ZapAGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZaoVGAS,2023-04-30 19:39:33.840910,../../raw_kb_v2\category\0TO5w000000ZaoVGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZaojGAC,2023-04-30 19:39:35.449520,../../raw_kb_v2\category\0TO5w000000ZaojGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZaoyGAC,2023-04-30 19:39:37.041595,../../raw_kb_v2\category\0TO5w000000ZaoyGAC
https://domo-support.domo.com/s/topic/0TO5w000000ZapVGAS,2023-04-30 19:39:38.715715,../../raw_kb_v2\category\0TO5w000000ZapVGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZaowGAC,2023-04-30 19:39:40.292036,../../raw_kb_v2\category\0TO5w000000ZaowGAC
https://domo-support.domo.com/s/article/4412849158167,2023-04-30 19:39:43.930767,../../raw_kb_v2\article\4412849158167
https://domo-support.domo.com/s/article/000005139,2023-04-30 19:39:48.093257,../../raw_kb_v2\article\000005139
https://domo-support.domo.com/s/article/4402322966807,2023-04-30 19:39:52.690960,../../raw_kb_v2\article\4402322966807
