id,updated,output_folder
https://domo-support.domo.com/s/article/360043429913,2023-04-30 18:03:34.244780,../../raw_kb\article\360043429913
https://domo-support.domo.com/s/topic/0TO5w000000ZamsGAC,2023-04-30 18:03:37.043739,../../raw_kb\category\0TO5w000000ZamsGAC
https://domo-support.domo.com/s/knowledge-base,2023-04-30 18:03:39.903690,../../raw_kb\home\knowledge-base
