id,name,url,updated,output_file_path
0TO5w000000ZanBGAS,Business In A Box,https://domo-support.domo.com/s/topic/0TO5w000000ZanBGAS,2023-04-16 19:32:27.872361,../../raw_kb/category/business_in_a_box
0TO5w000000ZankGAC,Free Domo,https://domo-support.domo.com/s/topic/0TO5w000000ZankGAC,2023-04-16 19:36:45.952253,../../raw_kb/category/free_domo
0TO5w000000ZancGAC,Domo Mobile,https://domo-support.domo.com/s/topic/0TO5w000000ZancGAC,2023-04-16 19:32:43.832632,../../raw_kb/category/domo_mobile
0TO5w000000ZanLGAS,Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZanLGAS,2023-04-16 19:36:56.861635,../../raw_kb/category/connectors
0TO5w000000Zjd3GAC,Cloud Amplifier,https://domo-support.domo.com/s/topic/0TO5w000000Zjd3GAC,2023-04-16 19:36:24.863299,../../raw_kb/category/cloud_amplifier
0TO5w000000ZaoPGAS,Workbench,https://domo-support.domo.com/s/topic/0TO5w000000ZaoPGAS,2023-04-16 19:35:03.743128,../../raw_kb/category/workbench
0TO5w000000ZanzGAC,Other Connection Methods,https://domo-support.domo.com/s/topic/0TO5w000000ZanzGAC,2023-04-16 19:32:51.581113,../../raw_kb/category/other_connection_methods
0TO5w000000ZaoQGAS,API Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZaoQGAS,2023-04-16 19:36:40.707133,../../raw_kb/category/api_connectors
0TO5w000000ZapAGAS,Partition Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZapAGAS,2023-04-16 19:36:21.993268,../../raw_kb/category/partition_connectors
0TO5w000000ZaoVGAS,Available Custom Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZaoVGAS,2023-04-16 19:35:14.056976,../../raw_kb/category/available_custom_connectors
0TO5w000000ZaojGAC,Database Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZaojGAC,2023-04-16 19:35:59.227931,../../raw_kb/category/database_connectors
0TO5w000000ZaoyGAC,General Connect Info,https://domo-support.domo.com/s/topic/0TO5w000000ZaoyGAC,2023-04-16 19:37:04.125442,../../raw_kb/category/general_connect_info
0TO5w000000ZapVGAS,Writeback Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZapVGAS,2023-04-16 19:37:07.252781,../../raw_kb/category/writeback_connectors
0TO5w000000ZaowGAC,File Connectors,https://domo-support.domo.com/s/topic/0TO5w000000ZaowGAC,2023-04-16 19:32:50.020757,../../raw_kb/category/file_connectors
